Year,unemployment rate
1976,9.299999999999999
1977,8.275
1978,6.758333333333333
1979,5.991666666666667
1980,5.983333333333333
1981,6.8
1982,8.483333333333333
1983,8.641666666666667
1984,6.591666666666666
1985,6.075
1986,5.841666666666666
1987,5.3999999999999995
1988,5.191666666666666
1989,5.608333333333333
1990,6.233333333333333
1991,7.641666666666667
1992,8.366666666666667
1993,7.3999999999999995
1994,6.4750000000000005
1995,5.6000000000000005
1996,5.283333333333333
1997,4.925
1998,4.45
1999,3.933333333333333
2000,3.7583333333333333
2001,4.425
2002,4.958333333333333
2003,4.466666666666667
2004,3.75
2005,2.875
2006,2.466666666666667
2007,3.3000000000000003
2008,5.691666666666666
2009,9.558333333333334
2010,10.825000000000001
2011,10.0
2012,8.666666666666666
2013,7.533333333333334
2014,6.433333333333334
2015,5.5249999999999995
2016,4.916666666666667
2017,4.3
2018,3.65
2019,3.25
2020,8.191666666666666
