Year,unemployment rate
1976,9.4
1977,8.225
1978,7.033333333333334
1979,7.866666666666667
1980,12.299999999999999
1981,12.375
1982,15.458333333333334
1983,14.483333333333334
1984,11.233333333333334
1985,10.0
1986,8.908333333333333
1987,8.391666666666667
1988,7.566666666666666
1989,7.183333333333334
1990,7.7
1991,9.283333333333333
1992,9.066666666666666
1993,7.3500000000000005
1994,6.083333333333333
1995,5.316666666666666
1996,4.891666666666667
1997,4.291666666666667
1998,3.975
1999,3.7416666666666667
2000,3.6916666666666664
2001,5.158333333333333
2002,6.191666666666666
2003,7.091666666666666
2004,6.95
2005,6.791666666666667
2006,7.033333333333334
2007,7.083333333333333
2008,8.216666666666667
2009,13.133333333333333
2010,12.191666666666668
2011,10.008333333333333
2012,9.058333333333334
2013,8.725
2014,7.233333333333333
2015,5.425
2016,5.008333333333334
2017,4.575
2018,4.158333333333333
2019,4.05
2020,10.05
