Year,unemployment rate
1976,6.191666666666666
1977,5.891666666666667
1978,4.541666666666667
1979,4.833333333333333
1980,6.425
1981,6.425
1982,9.241666666666667
1983,8.883333333333333
1984,6.575
1985,5.6499999999999995
1986,5.308333333333334
1987,4.558333333333334
1988,3.6999999999999997
1989,3.5666666666666664
1990,4.116666666666666
1991,5.908333333333334
1992,6.25
1993,5.116666666666666
1994,4.416666666666667
1995,4.358333333333333
1996,4.341666666666667
1997,3.8333333333333335
1998,3.533333333333333
1999,3.283333333333333
2000,3.7583333333333333
2001,5.625
2002,6.925
2003,6.716666666666666
2004,5.858333333333333
2005,5.6000000000000005
2006,5.133333333333334
2007,5.091666666666667
2008,6.208333333333333
2009,11.033333333333333
2010,10.716666666666667
2011,10.233333333333333
2012,9.516666666666667
2013,7.733333333333333
2014,6.108333333333333
2015,5.658333333333334
2016,5.1
2017,4.5249999999999995
2018,3.9916666666666667
2019,3.8833333333333333
2020,7.283333333333332
