Year,unemployment rate
1976,7.7250000000000005
1977,6.458333333333333
1978,5.516666666666667
1979,5.866666666666667
1980,8.316666666666666
1981,9.566666666666666
1982,12.575000000000001
1983,12.35
1984,9.466666666666667
1985,8.916666666666666
1986,8.316666666666666
1987,7.108333333333333
1988,6.016666666666667
1989,5.575
1990,5.791666666666667
1991,6.533333333333334
1992,7.391666666666667
1993,6.675
1994,5.666666666666667
1995,4.866666666666666
1996,4.991666666666666
1997,4.625
1998,4.3500000000000005
1999,4.325
2000,4.116666666666666
2001,4.375
2002,5.791666666666667
2003,6.216666666666666
2004,6.25
2005,5.933333333333334
2006,5.416666666666667
2007,5.608333333333333
2008,6.6000000000000005
2009,10.141666666666667
2010,10.266666666666667
2011,8.816666666666666
2012,7.408333333333334
2013,7.458333333333333
2014,5.8
2015,4.95
2016,5.075
2017,4.966666666666667
2018,4.5
2019,4.175
2020,8.266666666666667
