,year,state,party,candidatevotes,totalvotes,rate
0,1976,california,democrat,3742284,7803770,0.47954821836112543
3,1976,illinois,democrat,2271295,4721282,0.48107590268914247
7,1976,maryland,democrat,759612,1432273,0.5303541992343639
9,1976,massachusetts,democrat,1429475,2547558,0.5611157822510813
13,1976,new york,democrat,3244165,6668262,0.4865083285569763
16,1980,california,democrat,3082943,8582938,0.35919436910764124
20,1980,illinois,democrat,1981413,4749721,0.41716408184817594
24,1980,maryland,democrat,726161,1540496,0.4713812953749961
28,1980,massachusetts,democrat,1053802,2524090,0.41749779128319514
32,1980,new york,democrat,2728372,6201959,0.4399209991552669
35,1984,california,democrat,3922519,9505041,0.41267775699231596
39,1984,illinois,democrat,2086499,4819088,0.43296553206747834
43,1984,maryland,democrat,787935,1675873,0.4701639086016661
47,1984,massachusetts,democrat,1239606,2559383,0.4843378267340214
50,1984,new york,democrat,3001285,6806810,0.4409238688901262
54,1988,california,democrat,4702233,9887065,0.4755944256460335
58,1988,illinois,democrat,2215940,4559120,0.4860455526505115
62,1988,maryland,democrat,826304,1714358,0.48199034274054775
66,1988,massachusetts,democrat,1401415,2632801,0.5322905149306765
70,1988,new york,democrat,3255487,6485683,0.5019497561012464
74,1992,california,democrat,5121325,11131721,0.46006587840280944
78,1992,illinois,democrat,2453350,5050157,0.48579677819917283
82,1992,maryland,democrat,988571,1984580,0.4981260518598394
86,1992,massachusetts,democrat,1318639,2773664,0.47541410927927824
90,1992,new york,democrat,3346894,7079432,0.4727630691275797
94,1996,california,democrat,5119835,10019469,0.5109886561852729
98,1996,illinois,democrat,2341744,4311391,0.5431527783028726
102,1996,maryland,democrat,966207,1780870,0.5425477435186173
106,1996,massachusetts,democrat,1571509,2556459,0.614720987115381
110,1996,new york,democrat,3649630,6439129,0.5667893903041855
114,2000,california,democrat,5861203,10965822,0.5344973682775446
118,2000,illinois,democrat,2589026,4742108,0.545965212095549
122,2000,maryland,democrat,1144008,2025212,0.5648830838450493
126,2000,massachusetts,democrat,1616487,2733964,0.5912612602067913
130,2000,new york,democrat,3942215,6960215,0.566392704823055
134,2004,california,democrat,6745485,12421353,0.5430555753467436
138,2004,illinois,democrat,2891550,5274322,0.5482316020902781
142,2004,maryland,democrat,1334500,2384238,0.5597176120840285
146,2004,massachusetts,democrat,1803800,2927455,0.616166602048537
150,2004,new york,democrat,4180755,7448266,0.5613058126549186
154,2008,california,democrat,8274473,13561900,0.6101263834713425
158,2008,illinois,democrat,3419348,5522371,0.6191811452001323
162,2008,maryland,democrat,1629467,2631596,0.6191934476264593
166,2008,massachusetts,democrat,1904097,3102995,0.6136319910280229
170,2008,new york,democrat,4645332,7722019,0.6015696154075767
174,2012,california,democrat,7854285,13038547,0.6023895914168964
178,2012,illinois,democrat,3019512,5242014,0.5760213536247709
182,2012,maryland,democrat,1677844,2707327,0.6197419077931849
186,2012,massachusetts,democrat,1921290,3184196,0.6033830832021647
190,2012,new york,democrat,4324228,7116784,0.6076098417487449
194,2016,california,democrat,8753788,14181595,0.6172639960455788
198,2016,illinois,democrat,3090729,5536424,0.558253666987933
202,2016,maryland,democrat,1678006,2781446,0.6032854853195064
206,2016,massachusetts,democrat,1995196,3378821,0.5905006509667129
210,2016,new york,democrat,4379789,7802084,0.5613614259984896
214,2020,california,democrat,11110250,17500881,0.6348394689387351
218,2020,illinois,democrat,3471915,6033743,0.5754164537667581
222,2020,maryland,democrat,1985023,3037030,0.6536066486007711
226,2020,massachusetts,democrat,2382202,3658005,0.6512298370286536
230,2020,new york,democrat,5230985,8661735,0.603918845358349
