Year,unemployment rate
1976,8.008333333333333
1977,7.741666666666667
1978,7.008333333333333
1979,6.9750000000000005
1980,8.141666666666667
1981,8.366666666666667
1982,10.9
1983,11.108333333333334
1984,8.933333333333334
1985,8.0
1986,6.983333333333333
1987,5.75
1988,5.133333333333334
1989,4.8999999999999995
1990,5.516666666666667
1991,6.916666666666667
1992,7.45
1993,6.933333333333334
1994,6.316666666666666
1995,5.875
1996,5.491666666666667
1997,5.141666666666667
1998,4.691666666666666
1999,4.491666666666666
2000,4.225
2001,4.808333333333334
2002,5.533333333333334
2003,5.7
2004,5.358333333333333
2005,4.983333333333333
2006,4.708333333333333
2007,4.558333333333334
2008,5.3500000000000005
2009,7.974999999999999
2010,8.166666666666666
2011,7.741666666666667
2012,7.658333333333334
2013,7.1000000000000005
2014,5.933333333333334
2015,5.391666666666667
2016,5.341666666666666
2017,4.9750000000000005
2018,4.416666666666667
2019,4.3
2020,8.875
